lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006527,AB10 7GG,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006600,AB10 7GH,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006528,AB10 7GJ,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7GL,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006600,AB10 7GR,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7GS,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7GT,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7GU,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7GW,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006536,AB10 7GX,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000080,S01006536,S02000011,S02001240
S01006535,AB10 7GY,"Braeside, Mannofield, Broomhill and Seafield East - 04",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000062,S01006535,S02000011,S02001240
S01006529,AB10 7GZ,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006526,AB10 7HA,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006528,AB10 7HB,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006526,AB10 7HD,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006528,AB10 7HE,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006529,AB10 7HF,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006529,AB10 7HG,Garthdee - 04,S02001239,Garthdee,S13002846,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006526,AB10 7HH,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006529,AB10 7HJ,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006529,AB10 7HL,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006529,AB10 7HN,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006530,AB10 7HP,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7HQ,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7HR,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7HS,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006531,AB10 7HT,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
